,Reference area,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,CO:Colombia,81.05,84.021667,88.341666,96.874166,93.485,84.725,77.110833,76.276667,74.824166,64.8975,70.839167,79.361667,78.099167,87.6575,92.383333,90.964167,99.999167,99.203333,105.135,101.188334,97.499167,81.08,79.331667,82.9775,83.519167,78.600833,72.365833,69.679167
22,CN:China,69.418333,77.380834,85.585,92.21,97.644167,92.803334,93.215833,97.470834,94.965833,88.215,85.510833,84.619167,85.755,88.8125,96.4325,100.823333,100,102.580833,108.715,115.724167,118.450833,129.490833,124.648333,120.990833,122.5575,122.036667,124.7325,128.579167
23,GR:Greece,87.331667,89.590833,92.508333,92.785834,91.249167,91.763333,85.373333,86.075833,88.430833,93.573334,95.540833,95.626667,96.173333,97.413333,99.2675,100.691667,100.000834,100.585833,97.52,96.1775,94.55,89.281667,89.339167,89.728334,90.360834,88.679167,88.1,87.279167
24,CY:Cyprus,92.168333,91.914167,90.269167,89.736667,94.951667,93.02,89.566667,90.763333,93.308333,99.038334,101.109167,100.851667,100.66,100.4225,103.190833,104.215834,100.000833,100.616667,98.598333,98.224167,96.670834,91.185833,90.744167,90.315833,91.37,89.526667,89.235834,89.2875
25,PE:Peru,100.759167,101.5075,102.845833,104.363334,105.138333,94.600833,95.3,99.009166,100.263334,97.225833,95.7375,94.238333,92.36,91.045,94.819167,97.920833,99.999167,98.478333,106.368333,105.379167,104.054167,104.024167,103.340834,106.636667,104.6825,107.065,105.551667,93.2225
26,XM:Euro area,106.478333,109.9025,107.5925,99.5325,102.358333,98.168333,87.814167,89.016667,92.601667,103.525,107.2475,104.665,103.895,106.155833,108.003333,108.969167,100,99.3525,94.48,97.736667,98.2725,89.650833,91.588333,92.881667,95.985833,93.493333,94.995833,95.2825
27,TH:Thailand,106.735,104.961667,111.806667,103.868333,88.458334,91.761667,87.969167,83.889167,86.255,84.411667,84.063334,85.166667,92.3225,104.491667,98.336667,94.76,100.000833,99.11,99.523333,104.984167,101.8925,103.341667,100.108333,103.4225,106.388334,112.560833,109.4975,103.496667
28,US:United States,102.739167,100.664167,103.185833,108.225833,116.914167,115.685834,119.6225,126.394167,126.279166,118.4425,113.1225,111.171667,110.211667,105.0275,100.3825,104.6975,100,95.055834,97.288333,97.584167,99.838334,110.7,115.283333,114.908334,113.711667,117.05,118.730834,116.085833
29,IE:Ireland,88.3975,89.203333,90.635834,90.446667,88.4875,85.325,81.886666,84.8775,89.58,98.6,101.3925,101.169167,102.861667,108.059167,112.605,107.324167,100.000833,100.164167,95.695833,97.201667,96.248334,88.625834,89.715,90.005,90.704167,88.338333,88.444167,88.4325
30,ID:Indonesia,104.499167,101.329167,107.786667,101.203334,49.9775,71.3275,69.215833,65.845834,79.705,85.478333,81.596667,80.091667,92.863333,92.4475,88.939167,88.555833,100,99.974167,96.255,93.083333,87.111666,88.519167,92.504167,94.0075,88.1175,92.116667,90.608334,89.358333
31,EE:Estonia,49.961667,61.355,69.538333,72.549167,79.6475,82.991667,80.276667,82.723334,84.846667,87.7225,89.668333,90.765,92.180833,95.8275,101.519167,102.926667,100,101.241667,100.269167,103.063334,103.843333,101.230833,102.1075,103.714167,107.675833,107.6975,107.920833,109.7775
32,IN:India,94.1325,91.603333,86.826666,92.181667,89.4275,87.975,92.081667,94.021667,90.7475,90.595834,91.521667,94.465834,93.636667,99.831667,94.941667,89.591667,100,100.06,93.754167,89.3675,90.738334,97.525834,98.726667,103.110834,98.57,100.599167,101.194167,101.080833
33,AE:United Arab Emirates,74.665833,71.245,73.9075,79.668334,87.105,86.798334,90.6625,96.171667,95.560834,88.333334,85.533333,87.454167,92.5225,94.326667,98.8625,104.7325,100,93.4975,95.015833,95.279167,97.108333,108.908333,111.49,111.396667,111.105833,110.4825,106.903334,101.6125
34,IL:Israel,102.458334,103.389167,108.613333,113.954167,111.235,106.869167,113.259167,112.5675,101.835833,96.125833,89.805833,87.316667,86.828334,87.6425,97.609167,95.515833,100.000833,100.771667,95.906667,102.168333,103.291667,102.731666,104.261667,109.093333,106.675833,109.8925,112.254167,115.095
35,HR:Croatia,88.076667,91.265833,90.706667,89.7475,92.753333,89.283333,87.895834,91.130834,92.09,92.761667,94.404167,95.501667,97.2225,97.974167,102.064167,103.118333,100.001667,97.331667,95.2575,96.339167,95.601667,92.706667,93.171667,93.885833,95.449167,94.340833,93.455834,93.630834
36,LV:Latvia,62.340834,68.4625,71.446667,78.033333,82.459167,91.320833,96.895,94.506667,91.1825,86.204167,86.906667,85.301667,88.065834,93.54,102.299167,107.261667,100,101.16,100.593334,99.285834,100.288334,99.644167,100.511667,100.815,103.033334,103.631667,104.415,104.6875
37,LU:Luxembourg,99.626667,101.95,99.359167,96.156667,96.356667,95.580833,94.008333,94.4425,95.273334,97.649167,98.539167,98.373333,98.9475,99.8125,100.62,101.035833,100,100.863333,99.751667,101.13,101.2025,98.688333,98.795,99.368334,100.080834,99.6425,100.435833,100.5575
38,LT:Lithuania,43.405833,50.6425,59.725,69.705834,74.8125,80.735,87.363333,87.575833,89.79,91.049167,90.8575,89.379167,89.735,92.150833,97.548333,104.4025,100,100.761667,99.620834,100.22,100.963333,98.925,100.83,102.108333,104.794167,104.889167,107.01,108.918333
39,DK:Denmark,97.009166,100.913333,99.193333,95.1575,97.2575,97.273333,93.041666,94.355,96.1975,101.095,101.78,100.343334,99.7375,100.325833,101.65,104.453333,99.999167,99.245833,96.524167,97.345833,98.216667,94.443333,95.745,96.209167,97.115834,95.635833,96.775,95.969167
40,HU:Hungary,70.619167,67.108333,67.601667,70.189167,70.5625,72.101667,71.8375,78.044167,86.269167,89.0725,95.221667,96.5025,91.650834,102.474167,105.520833,99.310834,100,99.620834,96.7725,95.895833,91.970834,88.0325,88.630833,90.414167,89.835,88.901667,85.400833,85.781667
41,DZ:Algeria,140.803334,116.529167,120.406667,129.465,135.28,125.1575,119.476667,123.795,114.585834,104.461667,105.210833,100.655833,100.580833,99.02,101.994167,100.020833,100,99.166667,103.926667,101.541667,102.675833,96.8425,95.375833,97.354167,92.6925,94.925,90.558333,86.008334
42,NL:Netherlands,100.496667,104.175833,101.233334,95.8375,98.376667,97.380833,92.103333,94.7575,98.105,104.3075,105.634167,104.0475,102.6775,103.458334,103.666667,104.669167,99.999167,99.380833,96.644167,99.666667,100.344167,96.000833,96.895834,97.506667,99.085,99.06,100.851667,101.041667
