,KEY_CODE,CITY_NAME,AZA_CODE,AZA_NAME,総数（Ａ～Ｓ全産業）,Ａ～Ｒ全産業（Ｓ公務を除く）,Ａ～Ｂ農林漁業,Ｃ～Ｓ非農林漁業,Ｃ～Ｒ非農林漁業（Ｓ公務を除く）,Ｃ鉱業、採石業、砂利採取業,Ｄ建設業,Ｅ製造業,Ｆ電気・ガス・熱供給・水道業,Ｇ情報通信業,Ｈ運輸業、郵便業,Ｉ卸売業、小売業,Ｊ金融業、保険業,Ｋ不動産業、物品賃貸業,Ｌ学術研究、専門・技術サービス業,Ｍ宿泊業、飲食サービス業,Ｎ生活関連サービス業、娯楽業,Ｏ教育、学習支援業,Ｐ医療、福祉,Ｑ複合サービス事業,Ｒサービス業（他に分類されないもの）,Ｓ公務（他に分類されるものを除く）,１～４人,５～９人,１０～１９人,２０～２９人,３０人以上,出向・派遣従業者のみ,総数（Ａ～Ｓ全産業）,男（Ａ～Ｓ全産業）,女（Ａ～Ｓ全産業）,Ａ～Ｒ全産業（Ｓ公務を除く）,男Ａ～Ｒ全産業（Ｓ公務を除く）,女Ａ～Ｒ全産業（Ｓ公務を除く）,Ａ～Ｂ農林漁業,Ｃ～Ｓ非農林漁業,Ｃ～Ｒ非農林漁業（Ｓ公務を除く）,Ｃ鉱業、採石業、砂利採取業,Ｄ建設業,Ｅ製造業,Ｆ電気・ガス・熱供給・水道業,Ｇ情報通信業,Ｈ運輸業、郵便業,Ｉ卸売業、小売業,Ｊ金融業、保険業,Ｋ不動産業、物品賃貸業,Ｌ学術研究、専門・技術サービス業,Ｍ宿泊業、飲食サービス業,Ｎ生活関連サービス業、娯楽業,Ｏ教育、学習支援業,Ｐ医療、福祉,Ｑ複合サービス事業,Ｒサービス業（他に分類されないもの）,Ｓ公務（他に分類されるものを除く）,１～４人,５～９人,１０～１９人,２０～２９人,３０人以上,民営事業所数,うち個人,うち法人,うち会社,会社以外の法人,民営従業者数,うち個人,うち法人,うち会社,会社以外の法人
12,261010000000013.0,京都市北区,1300001300.0,大宮北椿原町,33,33,-,33,33,-,2,2,-,-,1,13,-,2,-,5,4,2,2,-,-,-,27,2,1,1,2,-,247,114,133,247,114,133,-,247,247,-,7,6,-,-,1,165,-,3,-,9,10,37,9,-,-,-,61,12,16,21,137,33,20,13,11,2,247,66,181,90,91
13,261010000000014.0,京都市北区,1400001400.0,大宮北ノ岸町,7,7,-,7,7,-,-,-,-,-,1,3,-,-,-,1,-,-,1,-,1,-,2,3,-,-,2,-,190,165,25,190,165,25,-,190,190,-,-,-,-,-,133,11,-,-,-,33,-,-,5,-,8,-,5,19,-,-,166,7,1,6,5,1,190,5,185,177,8
14,261010000000015.0,京都市北区,1500001500.0,大宮北箱ノ井町,8,8,-,8,8,-,1,-,-,-,1,3,-,-,-,-,-,1,1,-,1,-,7,1,-,-,-,-,23,19,4,23,19,4,-,23,23,-,7,-,-,-,2,8,-,-,-,-,-,3,2,-,1,-,16,7,-,-,-,8,3,5,5,-,23,6,17,17,-
15,261010000000016.0,京都市北区,1600001600.0,大宮北林町,15,15,1,14,14,-,-,1,-,-,-,4,-,1,-,4,1,2,1,-,-,-,13,1,1,-,-,-,49,27,22,49,27,22,4,45,45,-,-,3,-,-,-,8,-,1,-,13,4,14,2,-,-,-,29,7,13,-,-,15,8,7,7,-,49,15,34,34,-
16,261010000000017.0,京都市北区,1700001700.0,大宮北山ノ前町,8,8,-,8,8,-,1,1,-,-,-,2,-,1,1,1,-,-,-,-,1,-,7,1,-,-,-,-,26,18,8,26,18,8,-,26,26,-,7,4,-,-,-,4,-,1,2,4,-,-,-,-,4,-,19,7,-,-,-,8,6,2,2,-,26,20,6,6,-
17,261010000000018.0,京都市北区,1800001800.0,大宮玄琢北東町,4,4,-,4,4,-,-,1,-,-,-,-,-,-,1,1,1,-,-,-,-,-,4,-,-,-,-,-,7,5,2,7,5,2,-,7,7,-,-,1,-,-,-,-,-,-,2,2,2,-,-,-,-,-,7,-,-,-,-,4,2,2,2,-,7,4,3,3,-
18,261010000000019.0,京都市北区,1900001900.0,大宮玄琢北町,8,8,-,8,8,-,-,2,-,-,-,1,-,1,-,-,-,1,2,-,1,-,6,1,1,-,-,-,30,9,21,30,9,21,-,30,30,-,-,3,-,-,-,4,-,1,-,-,-,1,20,-,1,-,10,8,12,-,-,8,4,4,1,3,30,11,19,4,15
19,261010000000020.0,京都市北区,2000002000.0,大宮玄琢南町,9,9,-,9,9,-,2,2,-,-,-,-,-,1,-,1,-,2,-,-,1,-,6,2,-,-,1,-,77,52,25,77,52,25,-,77,77,-,5,4,-,-,-,-,-,1,-,6,-,60,-,-,1,-,11,11,-,-,55,9,2,7,7,-,77,2,75,75,-
20,261010000000021.0,京都市北区,2100002100.0,大宮釈迦谷,4,4,-,4,4,-,-,3,-,-,-,-,-,-,-,1,-,-,-,-,-,-,3,-,1,-,-,-,20,8,12,20,8,12,-,20,20,-,-,6,-,-,-,-,-,-,-,14,-,-,-,-,-,-,6,-,14,-,-,4,-,4,4,-,20,-,20,20,-
21,261010000000022.0,京都市北区,2200002200.0,大宮田尻町,22,22,-,22,22,-,2,-,-,-,-,7,-,5,1,3,3,-,1,-,-,-,20,2,-,-,-,-,51,31,20,51,31,20,-,51,51,-,10,-,-,-,-,15,-,8,1,5,7,-,5,-,-,-,38,13,-,-,-,22,16,6,6,-,51,33,18,18,-
22,261010000000023.0,京都市北区,2300002300.0,大宮土居町,4,4,-,4,4,-,-,-,-,-,-,2,-,-,-,-,2,-,-,-,-,-,4,-,-,-,-,-,10,5,5,10,5,5,-,10,10,-,-,-,-,-,-,5,-,-,-,-,5,-,-,-,-,-,10,-,-,-,-,4,4,-,-,-,10,10,-,-,-
23,261010000000024.0,京都市北区,2400002400.0,大宮中総門口町,3,3,-,3,3,-,-,-,-,-,-,1,-,-,-,1,1,-,-,-,-,-,3,-,-,-,-,-,5,2,3,5,2,3,-,5,5,-,-,-,-,-,-,3,-,-,-,1,1,-,-,-,-,-,5,-,-,-,-,3,3,-,-,-,5,5,-,-,-
24,261010000000025.0,京都市北区,2500002500.0,大宮中ノ社町,9,9,-,9,9,-,-,1,-,-,-,3,-,-,-,-,1,3,1,-,-,-,5,-,2,1,1,-,114,28,86,114,28,86,-,114,114,-,-,4,-,-,-,21,-,-,-,-,1,64,24,-,-,-,9,-,34,24,47,8,5,3,2,1,67,21,46,22,24
25,261010000000026.0,京都市北区,2600002600.0,大宮中林町,16,16,-,16,16,-,4,1,-,-,-,2,-,4,1,1,-,2,-,-,1,-,14,1,-,1,-,-,59,25,34,59,25,34,-,59,59,-,10,5,-,-,-,8,-,6,4,1,-,23,-,-,2,-,32,5,-,22,-,16,8,8,5,3,59,16,43,33,10
26,261010000000027.0,京都市北区,2700002700.0,大宮西小野堀町,12,12,-,12,12,-,1,2,-,-,-,3,-,1,-,1,-,-,3,-,1,-,11,-,1,-,-,-,43,21,22,43,21,22,-,43,43,-,4,3,-,-,-,6,-,3,-,1,-,-,23,-,3,-,26,-,17,-,-,12,6,6,5,1,43,11,32,15,17
27,261010000000028.0,京都市北区,2800002800.0,大宮西総門口町,14,14,1,13,13,-,4,3,-,-,-,4,-,1,-,1,-,-,-,-,-,-,10,2,2,-,-,-,60,39,21,60,39,21,8,52,52,-,5,19,-,-,-,24,-,1,-,3,-,-,-,-,-,-,17,15,28,-,-,14,5,9,9,-,60,9,51,51,-
28,261010000000029.0,京都市北区,2900002900.0,大宮西野山町,10,10,-,10,10,-,1,5,-,-,2,-,-,1,-,-,-,-,1,-,-,-,7,3,-,-,-,-,26,15,11,26,15,11,-,26,26,-,2,9,-,-,4,-,-,5,-,-,-,-,6,-,-,-,10,16,-,-,-,10,5,5,4,1,26,7,19,13,6
29,261010000000030.0,京都市北区,3000003000.0,大宮西山ノ前町,8,8,-,8,8,-,2,2,-,-,-,-,-,1,-,1,-,-,2,-,-,-,4,2,1,-,1,-,102,26,76,102,26,76,-,102,102,-,8,4,-,-,-,-,-,1,-,14,-,-,75,-,-,-,8,14,14,-,66,8,3,5,3,2,102,5,97,22,75
30,261010000000031.0,京都市北区,3100003100.0,大宮西脇台町,7,7,-,7,7,-,-,-,-,-,-,2,-,1,-,1,1,-,2,-,-,-,4,3,-,-,-,-,31,19,12,31,19,12,-,31,31,-,-,-,-,-,-,13,-,3,-,3,9,-,3,-,-,-,9,22,-,-,-,7,2,5,4,1,31,3,28,19,9
31,261010000000032.0,京都市北区,3200003200.0,大宮東小野堀町,33,33,-,33,33,-,1,6,-,-,1,12,-,1,-,3,3,1,3,1,1,-,22,9,1,1,-,-,136,65,71,136,65,71,-,136,136,-,1,26,-,-,1,62,-,2,-,12,11,6,8,6,1,-,42,61,10,23,-,33,18,15,14,1,136,48,88,87,1
32,261010000000033.0,京都市北区,3300003300.0,大宮東総門口町,19,19,-,19,19,-,3,1,-,1,-,1,1,1,-,3,4,1,2,-,1,-,8,7,1,3,-,-,138,79,59,138,79,59,-,138,138,-,26,5,-,7,-,6,25,2,-,35,16,7,7,-,2,-,16,45,12,65,-,19,6,13,10,3,138,19,119,72,47
