"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1498266733110571010","https://twitter.com/hijichomoku/status/1498266733110571010","長目ではデータ分析を一緒にしていただける方を募集中です。関心をお持ちの方は、ぜひ求人フォームよりご応募ください。働き方は完全リモートで自由な感じです。

よろしくお願いいたします。

https://t.co/3CzP4ur4ob
#求人 #データ分析 #Python","2022-02-28 12:00 +0000","113.0","26.0","0.23008849557522124","0.0","0.0","2.0","0.0","11.0","0.0","13.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1498223196050317312","https://twitter.com/hijichomoku/status/1498223196050317312","１ヶ月かけて、オープンデータを作る試みに参加してみました。アイデアはできたので、あとは実行あるのみです！！！

京都市データソンに参加しました | 合同会社 長目 https://t.co/idVqqhVj5E","2022-02-28 09:07 +0000","219.0","22.0","0.1004566210045662","1.0","0.0","6.0","1.0","4.0","0.0","10.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1497419095288938496","https://twitter.com/hijichomoku/status/1497419095288938496","長目の3月のイベントは、内容は企業におけるデータ活用の実践、場所は引き続きメタバースで行います。

このイベントに参加すると、デジタル研修の新たな形を知れると思います。新たな研修方法を模索中の人事の方など、是非ご参加ください。

https://t.co/YKXUszT92p","2022-02-26 03:51 +0000","48.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1497401028580282372","https://twitter.com/hijichomoku/status/1497401028580282372","合同会社長目では、ステッカー代わりに無料でNFTを配布させていただいております。

ご希望の方は以下のサイトより、Ethereumのアドレスをお知らせください！

https://t.co/nTHpogbYn4","2022-02-26 02:40 +0000","41.0","2.0","0.04878048780487805","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1497145847091318784","https://twitter.com/hijichomoku/status/1497145847091318784","長目では、ステッカー代わりにNFTを無料でプレゼントしています。欲しい方は弊社サイトからアドレスをご入力ください。

長目は京都のDXコンサルティング会社です！

https://t.co/nTHpogbYn4","2022-02-25 09:46 +0000","44.0","2.0","0.045454545454545456","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1497143833905139716","https://twitter.com/hijichomoku/status/1497143833905139716","Aragon Clientをテストネットで使ってみるとか、実際にいろいろ体験できます。

小川登壇予定イベント「入ってわかるDAO」 | 合同会社 長目 https://t.co/eb4dLIgCkK","2022-02-25 09:38 +0000","143.0","6.0","0.04195804195804196","1.0","0.0","2.0","0.0","2.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1496677511270334465","https://twitter.com/hijichomoku/status/1496677511270334465","応募いただいたのに確認できないというご意見をいただいたので、長目NFTの確認方法をブログにアップしました。

Openseaにウォレットを繋いでご確認ください。

長目NFTの確認方法 | 合同会社 長目 https://t.co/sAstCm46Aa","2022-02-24 02:45 +0000","40.0","2.0","0.05","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1496643503103033347","https://twitter.com/hijichomoku/status/1496643503103033347","長目の3月の無料セミナーは、Python、pandasでのデータの読み込み、整形、plotlyでのBIの作成方法を学んだ後、実際のデータ分析を体験します。

場所はOculus Workroomsです！Quest2枠空いてます！

Pythonでデータを触ったあと、データの活用を体験しよう！ https://t.co/AKlNYMo23N #データ分析","2022-02-24 00:29 +0000","209.0","15.0","0.07177033492822966","2.0","0.0","1.0","2.0","7.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1496037360454467585","https://twitter.com/hijichomoku/status/1496037360454467585","「当たり前！？」そんなこと言わず読んでみて〜

外部のデータと自社のデータをうまく活用し、企業のデータ活用を進めましょう！

データ活用に必要なのはデータです！ | 合同会社 長目 https://t.co/S8eM7s7a91 #DX #データ分析 #データ活用","2022-02-22 08:21 +0000","141.0","12.0","0.0851063829787234","1.0","0.0","1.0","2.0","1.0","0.0","7.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1495630180190404611","https://twitter.com/hijichomoku/status/1495630180190404611","前回に引き続きOculus Workroomsで開催するので、参加枠数もOculus枠の方が多くなっております！

奮ってご参加ください！ https://t.co/YKXUszC60p https://t.co/JkvvXnn0YG","2022-02-21 05:23 +0000","94.0","2.0","0.02127659574468085","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
